name,title,group,id,layer_definition,popup_info,url,search
aerial_imagery_1938_409,1938 Imagery (City),aerials,455bfde6-13da-4365-a99f-5d4a2249dbb4,"{'id': 'aerial_imagery_1938_409', 'opacity': 1, 'title': '1938 Imagery (City)', 'url': 'https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_1938/MapServer', 'visibility': False, 'layerType': 'ArcGISMapServiceLayer', 'minScale': 0, 'maxScale': 0}",,https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_1938/MapServer,[]
aerial_imagery_1952_3501,1952 Imagery (City),aerials,8d05c100-de9b-4bbd-b235-9c274ef03106,"{'id': 'aerial_imagery_1952_3501', 'opacity': 1, 'title': '1952 Imagery (City)', 'url': 'https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_1952/MapServer', 'visibility': False, 'layerType': 'ArcGISMapServiceLayer', 'minScale': 0, 'maxScale': 0}",,https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_1952/MapServer,[]
aerial_imagery_1975_3482,1975 Imagery (City),aerials,e1603b98-7d30-40d3-82f1-8fb9d6625abd,"{'id': 'aerial_imagery_1975_3482', 'opacity': 1, 'title': '1975 Imagery (City)', 'url': 'https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_1975/MapServer', 'visibility': False, 'layerType': 'ArcGISMapServiceLayer', 'minScale': 0, 'maxScale': 0}",,https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_1975/MapServer,[]
aerial_imagery_1998_8124,1998 Imagery (City),aerials,ee80ddb4-a801-4b1b-a6bc-ab196ac0b076,"{'id': 'aerial_imagery_1998_8124', 'opacity': 1, 'title': '1998 Imagery (City)', 'url': 'https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_1998/MapServer', 'visibility': False, 'layerType': 'ArcGISMapServiceLayer', 'minScale': 0, 'maxScale': 0}",,https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_1998/MapServer,[]
aerial_imagery_2001_7024,2001 Imagery (City),aerials,82e41ae3-66b1-4abc-811e-e21d35def020,"{'id': 'aerial_imagery_2001_7024', 'opacity': 1, 'title': '2001 Imagery (City)', 'url': 'https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_2001/MapServer', 'visibility': False, 'layerType': 'ArcGISMapServiceLayer', 'minScale': 0, 'maxScale': 0}",,https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_2001/MapServer,[]
aerial_imagery_2004_1894,2004 Imagery (City),aerials,fd111353-07d7-48cb-a2d2-ab6da3efd227,"{'id': 'aerial_imagery_2004_1894', 'opacity': 1, 'title': '2004 Imagery (City)', 'url': 'https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_2004/MapServer', 'visibility': False, 'layerType': 'ArcGISMapServiceLayer', 'minScale': 0, 'maxScale': 0}",,https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_2004/MapServer,[]
aerial_imagery_2007_4753,2007 Imagery (City),aerials,f88672ff-a8d1-425a-9ba3-383d3fced338,"{'id': 'aerial_imagery_2007_4753', 'opacity': 1, 'title': '2007 Imagery (City)', 'url': 'https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_2007/MapServer', 'visibility': False, 'layerType': 'ArcGISMapServiceLayer', 'minScale': 0, 'maxScale': 0}",,https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_2007/MapServer,[]
aerial_imagery_2011_8032,2011 Imagery (City),aerials,0e08d9e6-bf3c-4984-bd86-34a239d1222e,"{'id': 'aerial_imagery_2011_8032', 'opacity': 1, 'title': '2011 Imagery (City)', 'url': 'https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_2011/MapServer', 'visibility': False, 'layerType': 'ArcGISMapServiceLayer', 'minScale': 0, 'maxScale': 0}",,https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_2011/MapServer,[]
aerial_imagery_2015_7026,2015 Imagery (City),aerials,3e9046ab-698e-410a-8f65-48f64166f3d0,"{'id': 'aerial_imagery_2015_7026', 'opacity': 1, 'title': '2015 Imagery (City)', 'url': 'https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_2015/MapServer', 'visibility': False, 'layerType': 'ArcGISMapServiceLayer', 'minScale': 0, 'maxScale': 0}",,https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/aerial_imagery_2015/MapServer,[]
2017_Grants_Pass_Aerials_8659,2017 Imagery (City),aerials,3989fc34-60a1-4200-afb3-37bfcfeec024,"{'id': '2017_Grants_Pass_Aerials_8659', 'opacity': 1, 'title': '2017 Imagery (City)', 'url': 'https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/2017_Grants_Pass_Aerials/MapServer', 'visibility': False, 'layerType': 'ArcGISTiledMapServiceLayer', 'minScale': 0, 'maxScale': 0}",,https://gisserver.grantspassoregon.gov/server/rest/services/Aerials/2017_Grants_Pass_Aerials/MapServer,[]
